ano,mes,id_ur,ebdi,altas,bajas
2019, DIC,21,67,0,0
2019, DIC,21,184,0,0
2019, DIC,2,34,0,0
2019, DIC,2,59,0,0
2019, DIC,2,105,0,0
2019, DIC,2,518,0,0
2019, DIC,2,522,0,0
2019, DIC,6,80,0,0
2019, DIC,6,122,0,0
2019, DIC,6,496,0,0
2019, DIC,6,509,0,0
2019, DIC,6,510,0,0
2019, DIC,91,3,2,2
2019, DIC,91,10,0,0
2019, DIC,91,11,0,1
2019, DIC,91,12,0,1
2019, DIC,91,15,0,2
2019, DIC,91,20,0,0
2019, DIC,91,25,1,0
2019, DIC,91,42,0,0
2019, DIC,91,48,0,0
2019, DIC,91,50,0,0
2019, DIC,91,54,1,0
2019, DIC,91,56,0,1
2019, DIC,18,70,0,0
2019, DIC,18,72,0,0
2019, DIC,18,557,0,0
2019, DIC,91,151,0,0
2019, DIC,3,110,0,0
2019, DIC,3,516,0,1
2019, DIC,3,525,0,1
2019, DIC,20,22,0,0
2019, DIC,20,66,0,0
2019, DIC,20,88,0,0
2019, DIC,20,340,0,0
2019, DIC,20,533,0,0
2019, DIC,7,37,0,0
2019, DIC,7,128,0,0
2019, DIC,20,549,0,0
2019, DIC,20,550,0,0
2019, DIC,7,205,0,0
2019, DIC,7,264,0,0
2019, DIC,7,343,0,0
2019, DIC,7,376,0,0
2019, DIC,7,535,0,0
2019, DIC,7,536,0,0
2019, DIC,7,576,0,0
2019, DIC,24,378,0,0
2019, DIC,24,418,0,0
2019, DIC,24,546,0,0
2019, DIC,24,547,0,0
2019, DIC,92,6,0,0
2019, DIC,92,7,0,0
2019, DIC,92,43,0,0
2019, DIC,93,2,0,0
2019, DIC,92,45,0,0
2019, DIC,92,83,0,0
2019, DIC,93,8,0,0
2019, DIC,92,101,1,0
2019, DIC,93,14,0,0
2019, DIC,92,125,0,0
2019, DIC,92,141,1,0
2019, DIC,93,24,0,0
2019, DIC,92,152,0,0
2019, DIC,93,26,0,0
2019, DIC,93,40,0,0
2019, DIC,31,86,0,0
2019, DIC,93,44,0,0
2019, DIC,93,47,0,0
2019, DIC,93,96,0,0
2019, DIC,93,97,1,0
2019, DIC,93,98,0,0
2019, DIC,93,107,1,0
2019, DIC,93,136,1,0
2019, DIC,93,153,0,0
2019, DIC,93,154,0,0
2019, DIC,93,157,1,1
2019, DIC,19,18,1,0
2019, DIC,19,19,0,0
2019, DIC,19,310,0,0
2019, DIC,19,311,0,0
2019, DIC,19,419,0,0
2019, DIC,19,566,0,0
2019, DIC,32,23,0,1
2019, DIC,32,134,2,3
2019, DIC,31,38,0,0
2019, DIC,29,31,0,0
2019, DIC,29,551,0,1
2019, DIC,11,13,0,0
2019, DIC,11,65,1,0
2019, DIC,11,85,0,0
2019, DIC,11,112,0,0
2019, DIC,11,129,0,0
2019, DIC,11,574,1,0
2019, DIC,30,73,0,0
2019, DIC,30,74,0,0
2019, DIC,30,223,0,0
2019, DIC,30,274,0,0
2019, DIC,30,394,0,0
2019, DIC,30,514,0,0
2019, DIC,22,69,0,0
2019, DIC,22,84,0,0
2019, DIC,22,273,0,0
2019, DIC,22,313,0,0
2019, DIC,22,337,0,0
2019, DIC,22,389,0,0
2019, DIC,22,544,0,0
2019, DIC,22,579,0,0
2019, DIC,16,104,0,1
2019, DIC,16,115,0,0
2019, DIC,16,454,1,0
2019, DIC,16,455,0,0
2019, DIC,16,530,0,0
2019, DIC,16,573,0,0
2019, DIC,94,16,0,0
2019, DIC,94,27,0,0
2019, DIC,23,91,0,0
2019, DIC,23,515,0,0
2019, DIC,94,41,0,0
2019, DIC,28,94,0,0
2019, DIC,94,46,0,0
2019, DIC,94,55,0,0
2019, DIC,94,155,0,0
2019, DIC,94,156,0,0
2019, DIC,10,35,0,0
2019, DIC,10,81,1,0
2019, DIC,10,109,0,0
2019, DIC,10,375,0,0
2019, DIC,10,458,0,0
2019, DIC,28,334,0,0
2019, DIC,28,229,0,0
2019, DIC,5,63,0,0
2019, DIC,5,121,0,1
2019, DIC,28,130,0,0
2019, DIC,5,333,0,0
2019, DIC,28,114,1,0
2019, DIC,5,466,0,0
2019, DIC,5,491,0,0
2019, DIC,5,492,0,0
2019, DIC,5,555,0,0
2019, DIC,5,560,0,0
2019, DIC,5,570,0,0
2019, DIC,5,571,0,0
2019, DIC,94,135,0,0
2019, DIC,27,113,0,0
2019, DIC,27,302,0,0
2019, DIC,27,565,0,0
2019, DIC,91,95,0,0
2019, DIC,15,572,0,0
2019, DIC,15,456,0,0
2019, DIC,15,483,0,0
2019, DIC,15,558,0,0
2019, DIC,4,465,0,0
2019, DIC,26,78,0,0
2019, DIC,26,79,0,0
2019, DIC,26,131,0,0
2019, DIC,26,563,0,0
2019, DIC,26,564,0,0
2019, DIC,26,553,0,0
2019, DIC,26,289,0,0
2019, DIC,26,214,0,0
2019, DIC,26,120,0,0
2019, DIC,26,68,0,0
2019, DIC,13,75,0,0
2019, DIC,13,76,0,0
2019, DIC,13,77,0,0
2019, DIC,13,271,0,0
2019, DIC,13,520,0,1
2019, DIC,12,106,0,0
2019, DIC,12,559,0,0
2019, DIC,12,9,0,0
2019, DIC,26,89,0,0
2019, DIC,4,100,0,0
2019, DIC,7,344,0,0
2019, DIC,25,33,0,0
2019, DIC,25,82,0,0
2019, DIC,25,90,3,0
2019, DIC,25,149,0,0
2019, DIC,25,338,0,0
2019, DIC,25,359,0,0
2019, DIC,25,407,0,0
2019, DIC,25,475,0,0
2019, DIC,23,542,0,0
2019, DIC,20,93,0,0
2019, DIC,20,369,0,0
2019, DIC,20,370,0,0
2019, DIC,12,243,0,0
2019, DIC,15,427,0,0
2019, DIC,8,32,0,0
2019, DIC,8,213,0,0
2019, DIC,8,285,0,0
2019, DIC,8,482,0,0
2019, DIC,8,512,0,0
2019, DIC,26,529,0,0
2019, DIC,28,71,0,0
2019, DIC,28,228,0,0
2019, DIC,14,17,0,1
2019, DIC,14,30,0,0
2019, DIC,14,99,0,0
2019, DIC,14,280,0,0
2019, DIC,14,391,0,0
2019, DIC,14,462,0,0
2019, DIC,14,474,0,0
2019, DIC,14,534,0,0
2019, DIC,14,538,0,0
2019, DIC,14,543,0,0
2019, DIC,17,28,0,0
2019, DIC,17,57,0,0
2019, DIC,17,132,0,0
2019, DIC,17,384,1,0
2019, DIC,17,385,0,0
2019, DIC,17,467,0,0
2019, DIC,17,523,0,0
2019, DIC,17,552,0,0
2019, DIC,17,464,0,0
2019, DIC,17,541,1,0
2019, DIC,25,325,0,0
2019, DIC,93,117,0,0
2019, DIC,93,118,0,0
2019, DIC,1,92,0,0
2019, DIC,1,102,0,0
2019, DIC,20,400,0,0
2019, DIC,20,432,1,0
2019, DIC,8,64,0,0
2019, DIC,1,21,0,0
2019, DIC,1,250,0,0
2019, DIC,1,352,0,0
2019, DIC,1,404,0,0
2019, DIC,1,468,0,0
2019, DIC,24,36,1,0
2019, DIC,1,569,0,0
2019, DIC,1,568,0,0
2019, DIC,1,548,0,0
2019, DIC,1,479,0,0
2019, DIC,1,470,0,0
2019, DIC,1,360,0,0
2019, DIC,1,251,0,0
2019, DIC,16,428,0,1
2019, DIC,2,60,0,0
2019, DIC,3,61,0,0
